index,list_price,play_star_rating,prod_id,set_name,star_rating
383,36.5878,5.0,10878.0,Rapunzel´s Tower,5.0
384,21.9478,4.2,75206.0,Jedi™ and Clone Troopers™ Battle Pack,4.2
385,36.5878,4.4,60183.0,Heavy Cargo Transport,4.7
386,24.99,5.0,70358.0,Aaron's Stone Destroyer,5.0
387,12.1878,5.0,10732.0,Guido and Luigi's Pit Stop,5.0
388,12.772899999999998,4.7,75194.0,First Order TIE Fighter™ Microfighter,4.3
389,15.8478,5.0,40171.0,LEGO® Friends Buildable Hedgehog Storage,5.0
390,121.9878,3.6,21030.0,United States Capitol Building,4.6
391,70.1922,4.3,41154.0,Cinderella's Dream Castle,4.3
392,182.58,4.4,10246.0,Detective’s Office,4.6
393,269.99,4.9,70922.0,The Joker™ Manor,5.0
394,51.87000000000001,4.5,76098.0,Speed Force Freeze Pursuit,4.8
395,109.7878,5.0,75180.0,Rathtar™ Escape,4.7
396,48.7878,4.6,75534.0,Darth Vader™,5.0
397,15.6,4.4,2304.0,Green LEGO® DUPLO® Baseplate,4.0
398,19.99,4.0,72002.0,Twinfector,5.0
399,233.99220000000003,4.3,21137.0,The Mountain Cave,4.5
400,18.258,3.6,71217.0,Zane Fun Pack,4.0
401,99.3929,5.0,21135.0,The Crafting Box 2.0,5.0
402,38.352,5.0,10878.0,Rapunzel´s Tower,5.0
403,16.752,5.0,40171.0,LEGO® Friends Buildable Hedgehog Storage,5.0
404,10.1322,4.3,70621.0,The Vermillion Attack,4.7
405,36.5878,4.7,41336.0,Emma's Art Café,2.7
406,92.7971,3.9,10249.0,Winter Toy Shop,3.8
407,54.83900000000001,4.7,76104.0,The Hulkbuster Smash-Up,4.8
408,60.9878,4.0,75210.0,Moloch's Landspeeder™,4.5
409,136.62779999999998,4.5,70617.0,Temple of The Ultimate Ultimate Weapon,4.8
410,133.3971,4.2,75156.0,Krennic's Imperial Shuttle,4.4
411,103.6878,4.6,70656.0,"garmadon, Garmadon, GARMADON!",4.9
412,29.887,4.0,72002.0,Twinfector,5.0
413,18.2878,5.0,41151.0,Mulan's Training Day,5.0
414,58.37000000000001,4.9,75204.0,Sandspeeder™,4.5
415,4.186,4.3,71020.0,THE LEGO® BATMAN MOVIE Series 2,4.8
416,12.912,4.8,60163.0,Coast Guard Starter Set,5.0
417,11.5971,4.1,7281.0,T-Junction & Curved Road Plates,3.9
418,27.986,4.0,70918.0,The Bat-Dune Buggy,4.5
419,69.5278,4.4,70906.0,The Joker™ Notorious Lowrider,4.7
420,95.6971,5.0,75211.0,Imperial TIE Fighter™,4.7
421,54.8878,4.9,70920.0,Egghead™ Mech Food Fight,4.8
422,14.192899999999998,4.3,10733.0,Mater's Junkyard,4.7
423,97.5878,4.0,10840.0,Big Fair,5.0
424,21.899,4.3,10692.0,LEGO® Creative Bricks,4.1
425,20.986,4.3,42057.0,Ultralight Helicopter,4.7
426,22.7924,5.0,10856.0,Mater´s Shed,5.0
427,45.37000000000001,5.0,10857.0,Piston Cup Race,5.0
428,10.1322,5.0,31071.0,Drone Explorer,5.0
429,311.88,4.8,70620.0,NINJAGO® City,4.9
430,42.6878,4.3,75530.0,Chewbacca™,3.6
431,85.3878,5.0,41126.0,Heartlake Riding Club,5.0
432,39.99,4.8,70592.0,Salvage M.E.C.,4.8
433,24.3878,4.5,42073.0,BASH!,4.0
434,29.99,4.0,41192.0,Azari & the Fire Lion Capture,4.0
435,10.1322,4.5,60177.0,Airshow Jet,4.5
436,32.4,4.0,42074.0,Racing Yacht,4.8
437,121.9878,5.0,41318.0,Heartlake Hospital,4.8
438,7.3078,3.8,60156.0,Jungle Buggy,3.6
439,9.99,3.3,41588.0,The Joker™,4.8
440,121.9878,4.9,76108.0,Sanctum Sanctorum Showdown,5.0
